Date,AQI,PM2.5,PM10,NO2,CO,SO2
2026-08-01,82,35,70,28,0.7,12
2026-08-02,88,38,75,30,0.8,13
2026-08-03,95,42,80,32,0.8,14
2026-08-04,102,46,88,35,0.9,15
2026-08-05,110,50,95,38,1.0,16
2026-08-06,118,55,105,40,1.1,17
2026-08-07,125,60,110,42,1.2,18
2026-08-08,132,65,118,45,1.2,19
2026-08-09,140,70,125,48,1.3,20
2026-08-10,135,68,120,46,1.2,19
2026-08-11,128,62,112,43,1.1,18
2026-08-12,120,58,108,41,1.1,17
2026-08-13,112,52,100,38,1.0,16
2026-08-14,105,48,92,36,0.9,15
2026-08-15,98,44,85,33,0.8,14
2026-08-16,92,40,78,30,0.8,13
2026-08-17,100,45,88,34,0.9,15
2026-08-18,115,55,102,40,1.0,17
2026-08-19,130,65,118,46,1.2,19
2026-08-20,145,75,130,50,1.4,22
2026-08-21,155,82,140,55,1.5,24
2026-08-22,148,78,135,52,1.4,22
2026-08-23,138,70,125,48,1.3,20
2026-08-24,125,62,112,43,1.1,18
2026-08-25,115,55,102,40,1.0,17
2026-08-26,108,50,96,38,0.9,16
2026-08-27,118,56,105,41,1.0,17
2026-08-28,130,65,120,46,1.2,19
2026-08-29,142,72,128,50,1.3,21
2026-08-30,150,80,138,54,1.5,23
